image,tagged,emotion,matched_file,distance
track_238_sample_1_sec_700.jpg,ming,fear,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.005953024755315783
track_31_sample_1_sec_135.jpg,ming,sad,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.012166057608054004
track_563_sample_3_sec_2274.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_63_sample_1_sec_229.jpg,0.017637064859812757
track_133_sample_2_sec_476.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.010236423255709726
track_336_sample_2_sec_1084.jpg,ming,neutral,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.011410131639880139
track_274_sample_3_sec_767.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.01098868114514795
track_1004_sample_2_sec_4040.jpg,xiao,happy,main_project/data/my_face_db/xiao/track_62_sample_1_sec_212.jpg,0.05009803332944318
track_241_sample_1_sec_701.jpg,ming,sad,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.004815804179434502
track_382_sample_2_sec_1120.jpg,ming,sad,main_project/data/my_face_db/ming/track_62_sample_3_sec_244.jpg,0.021681026486997323
track_256_sample_1_sec_704.jpg,ming,sad,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.006325275906303274
track_1094_sample_1_sec_4273.jpg,ming,sad,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.0069062623212681196
track_893_sample_3_sec_3857.jpg,ming,sad,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.010251540196705822
track_317_sample_2_sec_1070.jpg,ming,angry,main_project/data/my_face_db/ming/track_62_sample_3_sec_244.jpg,0.012970958072416439
track_606_sample_2_sec_2536.jpg,ming,neutral,main_project/data/my_face_db/ming/track_383_sample_3_sec_1163.jpg,0.025481520002616054
track_471_sample_1_sec_1768.jpg,ming,sad,main_project/data/my_face_db/ming/track_843_sample_3_sec_3764.jpg,0.0060467673274323674
track_148_sample_1_sec_483.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.008501614458562234
track_611_sample_1_sec_2543.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_2_sample_3_sec_70.jpg,0.014589710334625638
track_87_sample_3_sec_404.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.01130724567407948
track_537_sample_3_sec_2103.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.016946352537182574
track_223_sample_1_sec_694.jpg,xiao,sad,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.009207672937071032
track_970_sample_1_sec_3916.jpg,xiao,angry,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.010384390752808947
track_428_sample_2_sec_1384.jpg,xiao,fear,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.010010208411637467
track_1111_sample_1_sec_4302.jpg,xiao,neutral,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.011340728651052623
track_532_sample_3_sec_2081.jpg,ming,sad,main_project/data/my_face_db/ming/track_383_sample_2_sec_1137.jpg,0.01188017420431986
track_584_sample_2_sec_2333.jpg,xiao,fear,main_project/data/my_face_db/xiao/track_4_sample_3_sec_62.jpg,0.01609003485505689
